Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,151.490005,152.360001,149.880005,150.020004,149.587830,1106300
2021-10-12,151.179993,151.179993,146.300003,147.949997,147.523773,1809900
2021-10-13,149.080002,150.880005,148.740005,150.220001,149.787247,1509100
2021-10-14,151.619995,153.479996,151.619995,152.589996,152.150406,1434100
2021-10-15,153.139999,153.889999,152.550003,153.270004,152.828461,1397800
2021-10-18,153.630005,155.419998,152.389999,154.779999,154.334091,1183600
2021-10-19,155.960007,157.460007,155.550003,155.619995,155.171677,1025500
2021-10-20,156.929993,158.119995,156.309998,157.589996,157.136002,1053000
2021-10-21,157.710007,158.020004,154.529999,156.940002,156.487885,1405100
2021-10-22,156.949997,158.710007,156.899994,157.970001,157.514908,772200
2021-10-25,157.899994,158.520004,156.750000,158.339996,157.883850,1088100
2021-10-26,159.630005,159.919998,157.039993,158.190002,157.734283,1016400
2021-10-27,158.300003,158.500000,154.830002,155.259995,154.812714,1472600
2021-10-28,155.979996,157.789993,154.190002,155.759995,155.311279,1752600
2021-10-29,155.130005,157.570007,154.440002,157.490005,157.036301,1999800
2021-11-01,157.380005,158.000000,155.800003,157.059998,156.607529,1329100
2021-11-02,157.550003,158.000000,155.440002,157.850006,157.395264,1714200
2021-11-03,158.029999,158.289993,154.570007,158.199997,157.744247,1256500
2021-11-04,157.860001,158.929993,156.360001,157.649994,157.195831,1015800
2021-11-05,156.570007,156.809998,152.429993,156.410004,155.959412,1775500
2021-11-08,157.000000,161.149994,156.550003,160.940002,160.476349,1467000
2021-11-09,160.940002,162.229996,159.520004,159.809998,159.349609,1021000
2021-11-10,159.210007,159.979996,156.059998,159.279999,158.821152,1093200
2021-11-11,160.279999,161.039993,157.929993,158.789993,158.332550,935500
2021-11-12,159.729996,161.059998,157.710007,160.880005,160.416534,1444800
2021-11-15,161.250000,162.330002,157.500000,157.779999,157.325470,1121300
2021-11-16,157.050003,163.000000,156.960007,161.389999,160.925064,1276300
2021-11-17,161.919998,161.919998,159.899994,161.539993,161.074631,872400
2021-11-18,162.529999,162.820007,160.399994,162.160004,161.692841,1475800
2021-11-19,163.009995,165.070007,162.669998,164.300003,163.826691,1647600
2021-11-22,165.000000,165.679993,162.779999,162.779999,162.311066,2110400
2021-11-23,155.889999,159.320007,151.770004,154.779999,154.334091,3140600
2021-11-24,153.759995,154.669998,151.089996,152.970001,152.529327,2291400
2021-11-26,153.289993,159.089996,151.570007,152.070007,151.631912,1632200
2021-11-29,153.059998,155.380005,151.559998,153.419998,152.978027,1734600
2021-11-30,153.350006,155.710007,149.699997,150.899994,150.465271,3900500
2021-12-01,151.119995,152.850006,148.089996,148.210007,147.783035,1800900
2021-12-02,147.910004,152.470001,147.729996,150.990005,150.555023,1514100
2021-12-03,151.820007,153.000000,147.720001,149.330002,148.899796,1412600
2021-12-06,149.339996,152.039993,147.779999,151.470001,151.033646,1803400
2021-12-07,152.839996,156.240005,152.610001,153.800003,153.356934,1422700
2021-12-08,154.759995,156.389999,153.949997,156.309998,155.859695,1491500
